"%s - Account creation"
"%s - Your new password"
"A request to reset your password has been made."
"An error occurred while connecting to your Facebook account. Please try again later"
"Are you sure you want to remove this user?"
"Change Password"
"Congratulations,"
"Create"
"Create a new user"
"Customer"
"Customers"
"Disconnect"
"Edit the user %s"
"First name"
"Forgot your password?"
"Here are your credentials:"
"I accept the <u>privacy policy</u>"
"If you encounter any problems, do not hesitate to contact us:"
"Last name"
"Login:"
"Miss"
"Mr"
"Mrs"
"My Account"
"My application's users"
"Or with your account"
"Please enter your email address. We'll send you your password right now."
"Please log in with your mobile phone"
"See you soon,"
"Show me in ranking"
"The old email address does not match the entered email address."
"This user can access the pages locked by the ""Locker"" feature"
"This user is visible in ranking"
"Title"
"User"
"Users"
"User Information"
"We are sorry but the %s account is already linked to one of our customers"
"You have created your account. With this account, you will be able to enjoy great offers available in our application."
"Your account has been successfully saved"
